date,value
1/1/1992,3846
2/1/1992,3908
3/1/1992,4157
4/1/1992,4141
5/1/1992,4275
6/1/1992,4357
7/1/1992,4407
8/1/1992,4446
9/1/1992,4328
10/1/1992,4497
11/1/1992,4687
12/1/1992,5287
1/1/1993,4104
2/1/1993,3908
3/1/1993,4369
4/1/1993,4372
5/1/1993,4535
6/1/1993,4568
7/1/1993,4682
8/1/1993,4733
9/1/1993,4621
10/1/1993,4775
11/1/1993,5158
12/1/1993,5631
1/1/1994,4018
2/1/1994,4140
3/1/1994,4827
4/1/1994,4700
5/1/1994,4867
6/1/1994,4958
7/1/1994,4980
8/1/1994,5356
9/1/1994,5203
10/1/1994,5328
11/1/1994,5734
12/1/1994,6305
1/1/1995,4649
2/1/1995,4410
3/1/1995,5084
4/1/1995,4818
5/1/1995,5195
6/1/1995,5196
7/1/1995,5190
8/1/1995,5506
9/1/1995,5418
10/1/1995,5505
11/1/1995,6090
12/1/1995,6409
1/1/1996,4788
2/1/1996,4833
3/1/1996,5410
4/1/1996,5310
5/1/1996,5603
6/1/1996,5479
7/1/1996,5673
8/1/1996,5893
9/1/1996,5589
10/1/1996,5970
11/1/1996,6425
12/1/1996,6734
1/1/1997,5311
2/1/1997,5116
3/1/1997,5715
4/1/1997,5670
5/1/1997,6010
6/1/1997,5805
7/1/1997,6027
8/1/1997,6263
9/1/1997,6094
10/1/1997,6369
11/1/1997,6781
12/1/1997,7554
1/1/1998,5822
2/1/1998,5581
3/1/1998,6162
4/1/1998,6038
5/1/1998,6225
6/1/1998,6310
7/1/1998,6466
8/1/1998,6502
9/1/1998,6329
10/1/1998,6693
11/1/1998,7186
12/1/1998,8098
1/1/1999,5922
2/1/1999,5996
3/1/1999,6790
4/1/1999,6481
5/1/1999,6684
6/1/1999,6853
7/1/1999,6961
8/1/1999,7240
9/1/1999,7139
10/1/1999,7339
11/1/1999,8006
12/1/1999,8883
1/1/2000,6638
2/1/2000,6989
3/1/2000,7622
4/1/2000,7134
5/1/2000,7635
6/1/2000,7487
7/1/2000,7508
8/1/2000,7974
9/1/2000,7535
10/1/2000,7667
11/1/2000,8346
12/1/2000,8635
1/1/2001,7050
2/1/2001,6797
3/1/2001,7572
4/1/2001,6940
5/1/2001,7551
6/1/2001,7491
7/1/2001,7456
8/1/2001,7971
9/1/2001,7078
10/1/2001,7603
11/1/2001,8548
12/1/2001,9427
1/1/2002,7149
2/1/2002,7091
3/1/2002,7777
4/1/2002,7370
5/1/2002,7991
6/1/2002,7502
7/1/2002,7671
8/1/2002,8205
9/1/2002,7456
10/1/2002,7859
11/1/2002,8839
12/1/2002,9528
1/1/2003,7190
2/1/2003,6713
3/1/2003,7618
4/1/2003,7374
5/1/2003,8078
6/1/2003,7753
7/1/2003,8074
8/1/2003,8384
9/1/2003,8017
10/1/2003,8351
11/1/2003,9018
12/1/2003,10166
1/1/2004,7651
2/1/2004,7613
3/1/2004,8499
4/1/2004,7991
5/1/2004,8112
6/1/2004,8443
7/1/2004,8895
8/1/2004,8883
9/1/2004,8441
10/1/2004,8718
11/1/2004,9594
12/1/2004,10917
1/1/2005,7908
2/1/2005,7973
3/1/2005,8787
4/1/2005,8418
5/1/2005,8649
6/1/2005,8966
7/1/2005,8957
8/1/2005,9607
9/1/2005,9216
10/1/2005,9110
11/1/2005,10232
12/1/2005,11297
1/1/2006,8595
2/1/2006,8457
3/1/2006,9412
4/1/2006,8556
5/1/2006,9209
6/1/2006,9447
7/1/2006,9244
8/1/2006,9940
9/1/2006,9511
10/1/2006,9178
11/1/2006,10195
12/1/2006,11051
1/1/2007,8802
2/1/2007,8423
3/1/2007,9415
4/1/2007,8553
5/1/2007,9266
6/1/2007,9171
7/1/2007,9194
8/1/2007,9867
9/1/2007,8885
10/1/2007,9069
11/1/2007,10012
12/1/2007,10487
1/1/2008,8163
2/1/2008,8104
3/1/2008,8381
4/1/2008,8029
5/1/2008,8604
6/1/2008,8117
7/1/2008,8495
8/1/2008,8456
9/1/2008,7676
10/1/2008,7712
11/1/2008,8121
